#SampleID,SampleType,Population,Subpopulation,Year,Month,Day,Name,Group,Subgroup,Type_CE,Stage,Visit,VisitLF,ScoreFaeces,Treatment,CIBDAI_1,CIBDAI_2,SignsDurationMonths,Localisation,StudyDurationWeeks,ConcurrentDiseases,LaboratoryFindings,Breed,Diet,AgeDays,Sex,NeuteringStatus,Run,Description,Sample_or_Control
sa670,Faeces,Total_Bacteria_IgA,IgA,2014,10,2,Jedd,Healthy,NA,NA,NA,1,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_General_Presort_IgA_V1_Rep1_FVASLMML1,True Sample
sa272,Water_presort,Water_presort_IgA,IgA,2014,10,2,Jedd,Healthy,NA,NA,NA,1,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_presort_IgA_V1_Rep1_FVASLMML3,Control Sample
sa631,Faeces,IgA+,IgA,2014,10,2,Jedd,Healthy,NA,NA,NA,1,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_IgA+_V1_Rep1_FVASLMML5,True Sample
sa202,Faeces,IgA-,IgA,2014,10,2,Jedd,Healthy,NA,NA,NA,1,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_IgA-_V1_Rep1_FVASLMML7,True Sample
sa357,Faeces,Total_Bacteria_IgA,IgA,2014,11,3,Jedd,Healthy,NA,NA,NA,2,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_General_Presort_IgA_V2_Rep1_FVASLMML9,True Sample
sa554,Water_presort,Water_presort_IgA,IgA,2014,11,3,Jedd,Healthy,NA,NA,NA,2,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_presort_IgA_V2_Rep1_FVASLMML11,Control Sample
sa14,Faeces,IgA+,IgA,2014,11,3,Jedd,Healthy,NA,NA,NA,2,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_IgA+_V2_Rep1_FVASLMML13,True Sample
sa157,Faeces,IgA-,IgA,2014,11,3,Jedd,Healthy,NA,NA,NA,2,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_IgA-_V2_Rep1_FVASLMML15,True Sample
sa77,Faeces,Total_Bacteria_IgG,IgG,2014,10,2,Jedd,Healthy,NA,NA,NA,1,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_General_Presort_IgG_V1_Rep1_FVASLMML17,True Sample
sa647,Water_presort,Water_presort_IgG,IgG,2014,10,2,Jedd,Healthy,NA,NA,NA,1,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_presort_IgG_V1_Rep1_FVASLMML19,Control Sample
sa122,Faeces,IgG+,IgG,2014,10,2,Jedd,Healthy,NA,NA,NA,1,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_IgG+_V1_Rep1_FVASLMML21,True Sample
sa679,Faeces,IgG-,IgG,2014,10,2,Jedd,Healthy,NA,NA,NA,1,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_IgG-_V1_Rep1_FVASLMML23,True Sample
sa148,Faeces,Total_Bacteria_IgG,IgG,2014,11,3,Jedd,Healthy,NA,NA,NA,2,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_General_Presort_IgG_V2_Rep1_FVASLMML25,True Sample
sa641,Water_presort,Water_presort_IgG,IgG,2014,11,3,Jedd,Healthy,NA,NA,NA,2,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_presort_IgG_V2_Rep1_FVASLMML27,Control Sample
sa432,Faeces,IgG+,IgG,2014,11,3,Jedd,Healthy,NA,NA,NA,2,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_IgG+_V2_Rep1_FVASLMML29,True Sample
sa201,Faeces,IgG-,IgG,2014,11,3,Jedd,Healthy,NA,NA,NA,2,NA,2,None,NA,NA,NA,NA,NA,NA,None,Labrador,J_D_Hills,730,Male,Yes,1,Jedd_IgG-_V2_Rep1_FVASLMML31,True Sample
sa563,Faeces,Total_Bacteria_IgA,IgA,2014,7,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,2,First,4,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgA_V2_Rep1_FVASLMML33,True Sample
sa183,Water_presort,Water_presort_IgA,IgA,2014,7,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,2,First,4,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgA_V2_Rep1_FVASLMML35,Control Sample
sa268,Faeces,IgA+,IgA,2014,7,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,2,First,4,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA+_V2_Rep1_FVASLMML37,True Sample
sa280,Faeces,IgA-,IgA,2014,7,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,2,First,4,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA-_V2_Rep1_FVASLMML39,True Sample
sa658,Faeces,Total_Bacteria_IgA,IgA,2014,9,30,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,3,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgA_V4_Rep1_FVASLMML41,True Sample
sa335,Water_presort,Water_presort_IgA,IgA,2014,9,30,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,3,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgA_V4_Rep1_FVASLMML43,Control Sample
sa20,Faeces,IgA+,IgA,2014,9,30,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,3,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA+_V4_Rep1_FVASLMML45,True Sample
sa470,Faeces,IgA-,IgA,2014,9,30,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,3,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA-_V4_Rep1_FVASLMML47,True Sample
sa407,Faeces,Total_Bacteria_IgA,IgA,2014,10,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,4,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Tramadol,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgA_V6_Rep1_FVASLMML49,True Sample
sa74,Water_presort,Water_presort_IgA,IgA,2014,10,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,4,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Tramadol,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgA_V6_Rep1_FVASLMML51,Control Sample
sa137,Faeces,IgA+,IgA,2014,10,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,4,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Tramadol,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA+_V6_Rep1_FVASLMML53,True Sample
sa468,Faeces,IgA-,IgA,2014,10,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,4,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Tramadol,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA-_V6_Rep1_FVASLMML55,True Sample
sa505,Faeces,Total_Bacteria_IgA,IgA,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,5,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgA_V9_Rep1_FVASLMML57,True Sample
sa403,Water_presort,Water_presort_IgA,IgA,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,5,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgA_V9_Rep1_FVASLMML59,Control Sample
sa384,Faeces,IgA+,IgA,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,5,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA+_V9_Rep1_FVASLMML61,True Sample
sa78,Faeces,IgA-,IgA,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,5,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA-_V9_Rep1_FVASLMML63,True Sample
sa146,Faeces,Total_Bacteria_IgA,IgA,2015,3,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgA_V10_Rep1_FVASLMML65,True Sample
sa307,Water_presort,Water_presort_IgA,IgA,2015,3,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgA_V10_Rep1_FVASLMML67,Control Sample
sa617,Faeces,IgA+,IgA,2015,3,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA+_V10_Rep1_FVASLMML69,True Sample
sa491,Faeces,IgA-,IgA,2015,3,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgA-_V10_Rep1_FVASLMML71,True Sample
