OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
0000e956e837b74e796439615815576b,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,NA
00046f09cb50a9cf715b3746785b9925,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
0009ab33ee6d268d1f73c0e97b67b2dc,Bacteria,Chlorobi,OPB56,NA,NA,NA,NA
000a0a8a4a287080808bf3568c6b1999,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus
000a42b66c7e6f6672709e4f522052f5,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Parvimonas,NA
000c24bce1b8d045ef309cfa7fe28982,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
001103c6d87c26d09e3bd677b6e5b3d7,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
0012ac67281898d09cdfb0362e395288,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
0015fc1121b572884015004ef5a833cc,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Nesterenkonia,NA
001641c58cc97e815dc5d75a89921df8,Bacteria,NA,NA,NA,NA,NA,NA
001b66c16fca533aabfc1183bdb1c92a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,plebeius
001c90c54105c2c04cd576b49269798b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri
00244bcb5e33076948aece1ba1364281,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,NA
002be61d1b5cb067bf155d79de396c82,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,NA
002e505846a8f04cc316fc5ec9c11350,Bacteria,Firmicutes,Clostridia,Clostridiales,[Acidaminobacteraceae],Fusibacter,NA
003853d99527525eac1f9d6198869d50,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],NA
003a46f7e6b779ab14b7c77b28dc4947,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
003afe2b99ffaa7ee4f802131a347e57,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
004433dbd12316edd776e153b24a6c99,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
004ceea2bac92e0c3a4116b2528e5595,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
004e29bd18370f365758ab28c297f5c4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
0051f488ef13d5565e91092cd9268066,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
0059952933793d3aad4a643205b79b62,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,NA,NA
0060134da330f98d306a73da89deef0e,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,thomasii
0070c2ba846bdaf121eaceb077baf085,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,NA,NA
0072207c7fe3a1b00a608c7291b32406,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,cecorum
00727695cb4d66d350b46487d5dea198,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
007d8220d2933f158f8c2b32661ae40f,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
007e0f021c56a39740aac8051f6135fd,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
0080d7e9c96dd994748fa476c835a941,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,NA
00820131a7fccdae68fd843e25fdf09e,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,neonatale
0082238638d7298ec33aa353fb108c60,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
008898d5ca70638b31fbbc966eac0bb2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
008f740ab4fe2c52062d23e11a108a7c,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,NA
0091a43625f7ae10d19e16ebc98ce69f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
0092426a921d10c4ae4ffec984a4e119,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,NA
0097d26d21d04ad5973f14ee38db6076,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA
009ec322777f010d6aa8b1cab66d22cf,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus
00a3837c241b8a0106a1e8eecdf4f529,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
00aa44556b0585cf779780c6131c5639,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
00b008677ea6e118a74441ef77f3ebf7,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA
00bbc713974cab4e058fa8910416495e,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,NA,NA
00c151ef615e33caf624798cf66b2819,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,NA
00c19c90e68a2c4bab8365df8d935b8c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,NA
00c1afdd3ed9b0dba9fc2ca3262dc8bd,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,NA
00c3b7dc9505ac5ef18e57b3d85a118b,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,NA
00cafc1e75416fd6b1a4580e5d0f7cc3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,hiranonis
00cb06d06fbe3bc6ace6bc9695742905,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA
00ccd4605a7ca46503f6c0b3741a2c62,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA,NA
00d0e7c157c0deab2d547683ded502f7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
00d670e2f3e84b7353b6f70fc913ee06,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
00fcc67d86147d7b5846a1b1b567a49e,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,NA
010452b55f41b7d84fc0c1fbefd5db4b,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
01062c1a2c465a1607a036a2c244c562,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Conchiformibius,NA
011081fde33c9d9627229c5ca68ed2c2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,NA,NA
0115e656e964ae50971d5f0537b28abe,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
01281a35fdd2e65938f53a7489897fae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
01318fcd4cb34b128bc7914069276e5c,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
01362271559174f515f29394918b2048,Bacteria,NA,NA,NA,NA,NA,NA
01369df13d96cf2009627bd91920e4e1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,NA
0139583f49a967cab9f15d0a6753cd26,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister,NA
013eed52dc8212318ce637d9987c6219,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera,NA
0142329ab91ed92eb690e1052f47eedb,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],torques
014a0c5b6e3b0d4463a004386fb0be43,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,hiranonis
01529a7b04ccf620e83de288b91c6b5f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
01545a77446f235a02dd9278780a00bb,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,foraminis
0158430a5c87e484aa425e5d01529610,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
015a0ecaf10f758b2c6b71b661f9845a,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
016163fff589911f0853015b64896d7c,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,anaerobius
016480968a7bd11bd5493299b45d8e3e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
017789ed8aa27caa6efdcdcbbcd888e7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
01782431c0059fd274a9a14dd51e3c7c,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA
017f5daf492127c7fb9f760cb3cc7c8c,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae
0180ce57468d71a174e33773b6d014e2,Bacteria,NA,NA,NA,NA,NA,NA
018c26b69df8cb9493d5448739f33809,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
018cfa02603d0ab7f34c56868657085f,Bacteria,SR1,,NA,NA,NA,NA
019928be3f45b44e9b160f29ebd021bc,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta
019b972fc14476d71e90ccd762abdc7b,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,NA
01a088c4adab3525ac0a400c5fd70e5d,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
01b0867a09636171accbb1d38c8fd10d,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
01beccb1b53acd283146690a65a21da1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
01c281a6cc4c16c9e8c98a13c73f494a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
01c297654896e284ae120ec76a381cc4,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
01e5a82a57aa2e8c92a6016871156133,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA
01ec9f8aae33ea6531bd02b7dd63f839,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus
01f74c6673310763c78fdf1f1fff1123,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta
01fd29c76e1b67919a1cea4c490d15e1,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,NA
01fda5e0541ca445ab5d4c4cfba026c0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NA,NA
01ff047db18a6d3073b17bda218d7069,Bacteria,Chlorobi,OPB56,NA,NA,NA,NA
